ablation,seed,modality,fund_groups,tech_dim,fund_dim,threshold,minutes,val_roc_auc,val_pr_auc,val_accuracy,val_mcc,val_precision,val_recall,val_f1,test_roc_auc,test_pr_auc,test_accuracy,test_mcc,test_precision,test_recall,test_f1
macro_only,42,fund_only,macro,32,9,0.5247073614079019,21.6,0.5880056313008806,0.1861581513506632,0.7504008551576697,0.1425262567429448,0.2147639841962986,0.3732292570106967,0.2726432776325863,0.5195920845415177,0.1334341636763067,0.7146552351466318,-0.0056578852488973,0.1270109805924412,0.2013358295805292,0.155761288680981
macro_only,43,fund_only,macro,32,9,0.5673152830289758,21.4,0.6326682913841803,0.230026772640464,0.8629301832610133,0.1780448802764561,0.3825077118490292,0.1523561723041341,0.2179149222101618,0.5156042146514539,0.1296396284173334,0.6917525022988734,-0.0113362936001601,0.1238645284288437,0.2235490563173607,0.1594053868773791
macro_only,44,fund_only,macro,32,9,0.4940578604621632,36.0,0.6732588246309675,0.1943462422537928,0.7378452563208291,0.2299116431501518,0.24952734750738,0.5437265105521827,0.3420711606229396,0.5085351323224503,0.1423380069104602,0.7473686995984414,0.0194500928001021,0.1451407881052347,0.1906593128573597,0.1648149768174263
fund_pure_only,42,fund_only,fund,32,6,0.5349761373382746,21.9,0.5042962879726982,0.1332819727781352,0.8624047685910734,0.039098811511861,0.212982605006364,0.0362821624747036,0.062002099672698,0.526231161683336,0.1416538467523245,0.8661493374613822,0.0109475666046535,0.183288409703504,0.0068815463239386,0.0132650573030968
fund_pure_only,43,fund_only,fund,32,6,0.5764739558210341,24.0,0.4986281810204754,0.1335182080078021,0.8660464357861744,0.0434493344984849,0.2368566685113447,0.0309337958947672,0.0547209614524068,0.5356576336758121,0.1444549006986792,0.8659971818127692,0.0116534904463795,0.1851851851851851,0.0073369427718463,0.014114669522048
fund_pure_only,44,fund_only,fund,32,6,0.5648297229578663,28.7,0.4971674105101908,0.1345605059608424,0.8720705867432443,0.0537186595480176,0.3289473684210526,0.0198756866146285,0.0374863685932388,0.5441386755831685,0.1459035880134371,0.8657524096823916,-0.0047478442422528,0.1068249258160237,0.0036431715832616,0.0070460439399129
fund_xs_only,42,fund_only,fund+fund_xs,32,12,0.5804746180075068,28.9,0.5125106239781121,0.1305370871876107,0.8649956064462945,0.0366182444172989,0.2172760996290408,0.0296328418618097,0.0521528970298289,0.5240548564770526,0.1414425167922546,0.8676841248734792,0.0228440210096638,0.2638888888888889,0.0067297475079694,0.0131247841318399
fund_xs_only,43,fund_only,fund+fund_xs,32,12,0.4564963625346538,31.7,0.5208057698566015,0.1330330118995434,0.2631512197773329,0.0390292724874841,0.1312062937062937,0.8678808904307603,0.2279509472645127,0.5325187019584718,0.1424493500291875,0.2317198219117364,0.0334850412615567,0.1350385142658052,0.9021403633051662,0.2349135659323284
fund_xs_only,44,fund_only,fund+fund_xs,32,12,0.5556696639013128,28.7,0.5148363717911483,0.131370766434834,0.8535633079382909,0.0301572406103724,0.1794660060556014,0.0471234460826828,0.0746465166867021,0.5337838673059389,0.1431886627829729,0.8590310992914839,0.0130207245339853,0.1659464131374243,0.0194302484440621,0.0347873352357657
multi_pure,42,multimodal,fund,32,6,0.5275387884801048,42.6,0.5856826149647802,0.1652761740674765,0.6788266946887824,0.0907197017119036,0.1714389932518694,0.4076322636600173,0.2413660290152779,0.6409495415158124,0.1984926743368851,0.6937569875827759,0.1296569886709658,0.1988967834199713,0.4433537418408136,0.2746019806944967
multi_pure,43,multimodal,fund,32,6,0.5186959342334581,47.2,0.5936234727896256,0.1746397176062324,0.632164436673944,0.1034615326814456,0.1702594171121677,0.4994940734316276,0.2539548385911404,0.6375148342375174,0.1948628000391698,0.6331328848049431,0.1322414300670414,0.1878945803676046,0.5436421595911551,0.2792680390933666
multi_pure,44,multimodal,fund,32,6,0.5177759888429306,47.5,0.5769225068121269,0.1648817671305686,0.6197718975622571,0.0775052441666074,0.1585895600262091,0.4723185891876265,0.2374507203459114,0.639924867160748,0.2008591861569194,0.632233181839231,0.1291128494903514,0.1865628553932289,0.5395435915599859,0.2772562989157284
multi_xs,42,multimodal,fund+fund_xs,32,12,0.538630406844576,42.6,0.5821574755544342,0.1684922654912298,0.7209232803993152,0.0883441821004949,0.1776148322632119,0.3378866724486846,0.232836118235924,0.6448724284320208,0.2042849029876898,0.7390266007766554,0.128892372260245,0.2112643003813435,0.3644183575368112,0.2674688503890219
multi_xs,43,multimodal,fund+fund_xs,32,12,0.5324423288501624,42.6,0.5827491588211299,0.1688883819810943,0.7293027384974953,0.0884752631612674,0.1794390282883171,0.3245880312228968,0.2311136270069987,0.6470261650621509,0.201329626151056,0.7445372814416417,0.1277546421459424,0.2125628906845555,0.3527298487071801,0.2652688458464934
multi_xs,44,multimodal,fund+fund_xs,32,12,0.5430580274970036,66.2,0.5765767077456545,0.1609293633691757,0.6877134497096631,0.0846825090961892,0.1699453027540543,0.3839982653946227,0.235614980376505,0.6242607794416992,0.1877468017304259,0.6982819642632689,0.1181604682969763,0.1946262731290025,0.4167383494408743,0.2653350515463917
macro_only,45,fund_only,macro,32,9,0.5707654466597133,19.6,0.6785274334317812,0.3156312555045974,0.886302077199721,0.2855189518541196,0.9652425778421434,0.0963428736629083,0.1751987908260498,0.5332191623018189,0.1332150859400151,0.8450724723969807,-0.0291019513543316,0.0732959850606909,0.0158882760714466,0.0261155237659583
macro_only,46,fund_only,macro,32,9,0.5894728642841646,19.3,0.6393925400997956,0.2083404720116783,0.8320575419652321,0.1866371332983171,0.3028753457959594,0.2611303845041919,0.2804579856394333,0.5315000418854813,0.1350417852864326,0.7803203207176455,-0.0012494517465373,0.1296010579678201,0.1190102717198805,0.1240800822980137
fund_pure_only,45,fund_only,fund,32,6,0.5595126995354591,25.7,0.5096332899917035,0.1341134129536369,0.8705215193542835,0.0389242841502134,0.2627206645898234,0.0182856316854582,0.0341914994256368,0.5345578988238591,0.1435281767245367,0.86483286032773,0.0120040007662541,0.1792905081495685,0.0094621261954156,0.0179755839661636
fund_pure_only,46,fund_only,fund,32,6,0.5355834139190789,25.8,0.5010278190648239,0.1293934900831261,0.8705215193542835,0.0371036252551586,0.2576882290562036,0.0175628794449262,0.0328844982745787,0.5348752856357502,0.1430560819319607,0.8661559529243654,0.0041298177504358,0.1515601783060921,0.005161159742954,0.0099823840281855
fund_xs_only,45,fund_only,fund+fund_xs,32,12,0.4766190640503739,32.4,0.5257189307179088,0.1335347542945351,0.278025890260805,0.0332115804135517,0.1307024626564392,0.8423677363399826,0.2262931034482758,0.5239723586106652,0.1386733358467462,0.2466046136238844,0.0241127330721729,0.1341434024457556,0.8730961898497192,0.232556572368155
fund_xs_only,46,fund_only,fund+fund_xs,32,12,0.4732886718208574,25.9,0.5203233793523045,0.1339816846476681,0.2716575021061881,0.0376230309100937,0.1312229227376982,0.8559554784619833,0.2275596376108447,0.5314368632347566,0.1415436881059729,0.2592004551438532,0.0424695095370969,0.1369838208085659,0.8803825330162425,0.2370791262995817
multi_pure,45,multimodal,fund,32,6,0.5641640200882054,56.1,0.5696159108068897,0.1611775222727668,0.7765538232976111,0.0817997002724491,0.1880400967853439,0.235906331309627,0.2092710136564724,0.629614961133016,0.189043613226986,0.7783489127486587,0.1065218714824847,0.2134456585203102,0.2589687800435156,0.2340138542785944
multi_pure,46,multimodal,fund,32,6,0.5148485827166899,39.4,0.5878898702753409,0.1701326497159939,0.6756651477955231,0.095031111928788,0.1729251660164974,0.4197022260769008,0.2449332517873336,0.6492216083008651,0.2044872555153173,0.6931285185993742,0.1388642679157885,0.2028704075710905,0.4598998127814603,0.281545729110199
multi_xs,45,multimodal,fund+fund_xs,32,12,0.4877808871072869,69.7,0.5806891854356111,0.1636735065345732,0.6086657185045612,0.0915060667667338,0.1628740039954993,0.512648164209309,0.2472074583950509,0.6087093333956825,0.1731139265303132,0.6084704388036597,0.1046426386050859,0.1739533191074057,0.5321054495774933,0.2621920813802733
multi_xs,46,multimodal,fund+fund_xs,32,12,0.5031730824110898,43.1,0.5718222903081837,0.1632990750419455,0.6301714844776201,0.0855670886192719,0.1628987534660638,0.4713067360508817,0.2421148383982772,0.6316967999822694,0.190707011942899,0.6304933150746554,0.1279840891086887,0.1858505675092263,0.5402013864291858,0.2765552346289844
tech_only,42,tech_only,fund,32,6,0.5397689584191625,38.7,0.5702341337143131,0.16142051648119918,0.7245105943526982,0.08088259356732029,0.17427190189836103,0.3204683434518647,0.22576949515008018,0.6113942160830286,0.17289793440005696,0.713801840421802,0.09005687865510544,0.18390680907158807,0.3458989019885645,0.2401377033055819
tech_only,43,tech_only,fund,32,6,0.5539600981079216,23.7,0.5776879233151108,0.16523964918386375,0.7571044216362137,0.0863188626466348,0.18500898101849605,0.27544087886672447,0.22134456221867285,0.6311079306032439,0.1907282179934398,0.7664344639159572,0.11088533085566263,0.2110859139744972,0.28730455902443963,0.24336719386224337
tech_only,44,tech_only,fund,32,6,0.5231299526575814,19.7,0.5733202707354305,0.15959329985529122,0.6641513194249427,0.08391592515372522,0.16627412683823528,0.41840127204394334,0.23797582833182604,0.6484692513806223,0.2012091183717724,0.6810156058771774,0.12960385523747397,0.19598709374131926,0.46409958002327584,0.2755926805083982
tech_only,45,tech_only,fund,32,6,0.5370616529528113,49.7,0.5643565855843046,0.15694270448455858,0.6998342226127603,0.07761584465435667,0.16829947406414356,0.3538594969644406,0.22810818366063318,0.6174205636893075,0.1817686131775639,0.6972102592599944,0.10881856414141992,0.18994253558740073,0.40307645600364317,0.25820881008719326
tech_only,46,tech_only,fund,32,6,0.5479316959791758,26.4,0.5751272127182645,0.1652476674971732,0.7241120039134334,0.08999356696774222,0.17915749642843354,0.3353570396068228,0.233547250534793,0.6334791466075232,0.18973913831183184,0.7176454244150277,0.1157239029468046,0.19811370462089678,0.38050903202955016,0.2605637462968417
tech_macro,42,multimodal,macro,32,9,0.5903896047688248,48.8,0.5800384778642143,0.1926271718237284,0.8160142767848245,0.10583602665284966,0.2264661145850938,0.19369760046256143,0.20880405142189326,0.6260190190699468,0.17432280806771894,0.7997036272583536,0.045948349839065296,0.17545375972342264,0.14380407832818903,0.15806012068629904
tech_macro,43,multimodal,macro,32,9,0.6151568617719073,39.1,0.6512784856327771,0.2534296622112845,0.854768138129705,0.185427680046651,0.35313001605136435,0.19080659150043366,0.24774774774774774,0.6278256409750387,0.18949065328327577,0.7842565211926357,0.10084276178809687,0.21238304159018667,0.2400445276526843,0.22536817102137768
tech_macro,44,multimodal,macro,32,9,0.5795096001198459,38.9,0.6179522112472792,0.22356915362752877,0.8478109231898106,0.1528557262284374,0.30926640926640925,0.17367736339982653,0.2224382116078867,0.5986034323704189,0.1680803743555151,0.8142841076732755,0.04893775577717942,0.18417452113104288,0.12260284369781915,0.147209818038215
tech_macro,45,multimodal,macro,32,9,0.5601370283552635,39.4,0.5759515543424214,0.1720123182142719,0.7797063113172508,0.10378588013461064,0.2039652056032535,0.26098583405608555,0.22897907419150285,0.6329207847494092,0.18460320671124059,0.7665336958607049,0.09284096771844236,0.19965183752417795,0.261144563072408,0.22629513515883629
tech_macro,46,multimodal,macro,32,9,0.5403817123513557,43.3,0.6200123710229751,0.20587286273230165,0.8004601907798784,0.1407993300828012,0.2396872815102015,0.27254986990459673,0.2550644255808448,0.6040854371952195,0.16507457842664724,0.7751271822758515,0.061414680421578056,0.18054869561312917,0.20346101300409858,0.1913213113194081
fund_macro,42,fund_only,fund+macro,32,15,0.5185774103355247,21.8,0.6394443438436523,0.2218579870784357,0.7940646260044026,0.17569875457836984,0.2560995668622183,0.33759757155247183,0.2912548713951676,0.5270324013004228,0.1357815557509138,0.7095877905015182,0.01455316683736811,0.13993316624895571,0.23731214896523808,0.1760543553745378
fund_macro,43,fund_only,fund+macro,32,15,0.5238590164846402,19.8,0.6436421661524439,0.19178420183911218,0.7859841107356711,0.16591772781102365,0.24506484712745455,0.3400549291702804,0.28484940214923565,0.5115200850561967,0.12965747841165956,0.7340583880762895,-0.02833508468171743,0.10987668461039209,0.14562566411981986,0.12525023935938723
fund_macro,44,fund_only,fund+macro,32,15,0.5740078444265599,19.7,0.6813366676335302,0.2362905726281979,0.8616709998278814,0.1998825879268855,0.38979403627420844,0.18328996819890142,0.24933634844164781,0.5231157577927984,0.13607674243035767,0.8622726761532405,0.02081792638493965,0.195852534562212,0.01720386580984668,0.0316293781106098
fund_macro,45,fund_only,fund+macro,32,15,0.5646035569647084,19.6,0.6977993741913118,0.2741821789774481,0.864823487847521,0.2407108031899151,0.4253710830126443,0.22369181844463717,0.2931981811292156,0.5021939685496886,0.12482949134690359,0.8431473726688762,-0.019686754156471583,0.09434737923946557,0.02322521884329302,0.037274646743543936
fund_macro,46,fund_only,fund+macro,32,15,0.5388951089748969,19.6,0.690796086280561,0.2726695147521426,0.8685738615260579,0.21589654833618233,0.43852908891328213,0.17324371205550737,0.2483680447622008,0.5093082767934531,0.13037426915637762,0.8105463710877806,-0.017925872276047725,0.1095468543774747,0.0629965086272327,0.0799922898997687
all_three,42,multimodal,fund+macro,32,15,0.5306613965397295,39.8,0.6140373812522029,0.19797913191706443,0.7203616302348966,0.12600619335387594,0.1967598362115008,0.39939288811795315,0.2636387490756423,0.6207633072882007,0.18364596514179202,0.7234604163772401,0.09521037264696457,0.18877623068884683,0.33820776197945657,0.24230560087003805
all_three,43,multimodal,fund+macro,32,15,0.547013174748939,43.5,0.610402080381463,0.19697922277921676,0.7624763336926687,0.12990357496754731,0.21266821345707657,0.33123735183579067,0.25902899451760586,0.6095603271605248,0.1702387079136192,0.7407863139301804,0.06829964696085437,0.1769578814292368,0.26913930071345443,0.21352441741434336
